File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer\assignment1\assignment1\LinkedList.cs,38,32,18,2,6,0,0,0,0,0
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer\assignment1\assignment1\Program.cs,74,58,34,8,13,0,3,24,0,0
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer\assignment1\assignment1\obj\Debug\netcoreapp2.2\assignment1.AssemblyInfo.cs,24,9,2,0,5,0,10,36,9,30
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer\assignment1\Tests\Assignment1.cs,87,75,34,0,12,0,0,0,0,0
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer\assignment1\Tests\obj\Debug\netcoreapp2.2\Tests.AssemblyInfo.cs,24,9,2,0,5,0,10,36,9,30
C:\Users\Emilia Vanderwerf\source\repos\exceptional-engineer\assignment1\Tests\obj\Debug\netcoreapp2.2\Tests.Program.cs,5,5,2,0,0,0,0,0,0,0
